GameID,Season,GameDate,Status,AwayTeamID,AwayTeamScore,AwayTeamRecordWins,AwayTeamRecordLosses,AwayTeamRecordPct,HomeTeamID,HomeTeamScore,HomeTeamRecordWins,HomeTeamRecordLosses,HomeTeamRecordPct,VenueID,DayNight,GamesInSeries,SeriesGameNumber,SeriesDescription
529579,2018,4/11/2018 17:05,Final,108,7,10,3,0.769,140,2,4,10,0.769,13,night,3,3,Regular Season
529584,2018,4/11/2018 17:05,Final,134,5,8,3,0.727,112,13,6,5,0.727,17,night,3,2,Regular Season
529583,2018,4/11/2018 19:10,Final,133,16,5,8,0.385,119,6,4,7,0.385,22,night,2,2,Regular Season
529594,2018,4/12/2018 11:20,Final,134,6,9,3,0.75,112,1,6,6,0.75,17,day,3,3,Regular Season
529591,2018,4/12/2018 15:10,Final,116,3,4,8,0.333,114,9,8,5,0.333,5,night,4,4,Regular Season
529596,2018,4/12/2018 15:40,Final,138,13,6,7,0.462,113,4,2,10,0.462,2602,night,4,1,Regular Season
529590,2018,4/12/2018 16:05,Final,115,5,7,7,0.5,120,1,6,7,0.5,3309,night,4,1,Regular Season
529593,2018,4/12/2018 16:10,Final,147,3,6,7,0.462,111,6,10,2,0.462,3,night,3,3,Regular Season
529589,2018,4/12/2018 17:10,Final,145,0,4,8,0.333,142,4,7,4,0.333,3312,night,1,1,Regular Season
529592,2018,4/12/2018 17:15,Final,108,7,11,3,0.786,118,1,3,8,0.786,7,night,3,1,Regular Season
529595,2018,4/12/2018 19:10,Final,137,7,6,6,0.5,135,0,4,10,0.5,2680,night,4,1,Regular Season
529598,2018,4/13/2018 11:20,Final,144,4,8,5,0.615,112,0,6,7,0.615,17,day,2,1,Regular Season
529609,2018,4/13/2018 15:40,Final,138,5,7,7,0.5,113,3,2,11,0.5,2602,night,4,2,Regular Season
529601,2018,4/13/2018 16:05,Final,115,2,8,7,0.533,120,1,6,8,0.533,3309,night,4,2,Regular Season
529599,2018,4/13/2018 16:10,Final,110,3,5,9,0.357,111,7,11,2,0.357,3,night,3,1,Regular Season
529603,2018,4/13/2018 16:10,Final,158,5,7,7,0.5,121,6,11,1,0.5,3289,night,3,1,Regular Season
529604,2018,4/13/2018 16:10,Final,147,8,7,7,0.5,116,6,4,9,0.5,2394,night,1,1,Regular Season
529606,2018,4/13/2018 16:10,Final,143,2,7,5,0.583,139,1,3,10,0.583,12,night,3,1,Regular Season
529607,2018,4/13/2018 16:10,Final,134,2,9,4,0.692,146,7,4,9,0.692,4169,night,3,1,Regular Season
529611,2018,4/13/2018 16:10,Final,141,8,9,5,0.643,114,4,8,6,0.643,5,night,1,1,Regular Season
529610,2018,4/13/2018 17:10,Final,140,2,4,11,0.267,117,3,10,4,0.267,2392,night,3,1,Regular Season
529602,2018,4/13/2018 17:15,Final,108,5,12,3,0.8,118,4,3,9,0.8,7,night,3,2,Regular Season
529597,2018,4/13/2018 19:10,Final,109,8,10,3,0.769,119,7,4,8,0.769,22,night,3,1,Regular Season
529605,2018,4/13/2018 19:10,Final,133,4,5,9,0.357,136,7,7,4,0.357,680,night,3,1,Regular Season
529608,2018,4/13/2018 19:10,Final,137,1,6,7,0.462,135,5,5,10,0.462,2680,night,4,2,Regular Season
529614,2018,4/14/2018 10:05,Final,110,3,5,10,0.333,111,10,12,2,0.333,3,day,3,2,Regular Season
529616,2018,4/14/2018 10:05,Final,115,2,8,8,0.5,120,6,7,8,0.5,3309,day,4,3,Regular Season
529624,2018,4/14/2018 10:10,Final,138,6,8,7,0.533,113,1,2,12,0.533,2602,day,4,3,Regular Season
529613,2018,4/14/2018 11:20,Final,144,10,8,6,0.571,112,14,7,7,0.571,17,day,2,2,Regular Season
529625,2018,4/14/2018 13:05,Final,140,6,5,11,0.313,117,5,10,5,0.313,2392,day,3,2,Regular Season
529621,2018,4/14/2018 15:10,Final,143,9,8,5,0.615,139,4,3,11,0.615,12,night,3,2,Regular Season
529618,2018,4/14/2018 16:10,Final,158,5,8,7,0.533,121,1,11,2,0.533,3289,night,3,2,Regular Season
529622,2018,4/14/2018 16:10,Final,134,1,10,4,0.714,146,0,4,10,0.714,4169,night,3,2,Regular Season
529617,2018,4/14/2018 16:15,Final,108,5,13,3,0.813,118,3,3,10,0.813,7,night,3,3,Regular Season
529623,2018,4/14/2018 17:40,Final,137,4,6,8,0.429,135,5,6,10,0.429,2680,night,4,3,Regular Season
529612,2018,4/14/2018 18:10,Final,109,9,11,3,0.786,119,1,4,9,0.786,22,night,3,2,Regular Season
529620,2018,4/14/2018 18:10,Final,133,8,5,10,0.333,136,10,8,4,0.333,680,night,3,2,Regular Season
529629,2018,4/15/2018 10:05,Final,110,1,5,11,0.313,111,3,13,2,0.313,3,day,3,3,Regular Season
529633,2018,4/15/2018 10:10,Final,158,2,8,8,0.5,121,3,12,2,0.5,3289,day,3,3,Regular Season
529636,2018,4/15/2018 10:10,Final,143,10,9,5,0.643,139,4,3,12,0.643,12,day,3,3,Regular Season
529637,2018,4/15/2018 10:10,Final,134,7,11,4,0.733,146,3,4,11,0.733,4169,day,3,3,Regular Season
529639,2018,4/15/2018 10:10,Final,138,3,9,7,0.563,113,2,2,13,0.563,2602,day,4,4,Regular Season
529631,2018,4/15/2018 10:35,Final,115,6,9,8,0.529,120,5,7,9,0.529,3309,day,4,4,Regular Season
529627,2018,4/15/2018 13:10,Final,109,2,11,4,0.733,119,7,5,9,0.733,22,day,3,3,Regular Season
529635,2018,4/15/2018 13:10,Final,133,2,6,10,0.375,136,1,8,5,0.375,680,day,3,3,Regular Season
529638,2018,4/15/2018 13:10,Final,137,1,6,9,0.4,135,10,7,10,0.4,2680,day,4,4,Regular Season
529640,2018,4/15/2018 17:08,Final,140,3,6,11,0.353,117,1,10,6,0.353,2392,night,3,3,Regular Season
529649,2018,4/16/2018 15:35,Final,146,1,4,12,0.25,147,12,8,7,0.25,3313,night,2,1,Regular Season
529645,2018,4/16/2018 16:05,Final,115,6,10,8,0.556,134,2,11,5,0.556,31,night,3,1,Regular Season
529652,2018,4/16/2018 16:10,Final,140,4,6,12,0.333,139,8,4,12,0.333,12,night,3,1,Regular Season
529653,2018,4/16/2018 16:10,Final,120,8,8,9,0.471,121,6,12,3,0.471,3289,night,3,1,Regular Season
